Machine Name,Input String,Result,Max Depth,# Transitions,Average Nondeterminism,Comments
aplus.csv,aaaaa,Accpeted,7,16,1.455,
aplus.csv,aaaab,Rejected,6,13,1.444,
aplus.csv,aaaaaaaaaaaaaaaaaa,Accpeted,20,55,1.486,
aplus.csv,baa,Rejected,2,2,1.0,
aplus.csv,a,Accpeted,3,4,1.333,
aplus.csv,aaacaa,Rejected,5,10,1.429,
equal_01s_DTM.csv,01,Accpeted,6,6,1.0,
equal_01s_DTM.csv,1010,Accpeted,14,14,1.0,
equal_01s_DTM.csv,10101,Rejected,15,15,1.0,
equal_01s_DTM.csv,11111111110000000000,Accpeted,312,312,1.0,
equal_01s.csv,01,Accpeted,6,9,1.125,
equal_01s.csv,1010,Accpeted,14,22,1.1,
equal_01s.csv,10101,Rejected,15,23,1.1,
equal_01s.csv,11111111110000000000,Accpeted,312,387,1.027,
